date;cpi_yoy;t10y2y;hy_oas;cpi_yoy_z;t10y2y_z;hy_oas_z
2024-03-31;3,48683491;-0,39000000;3,15000000;-0,22088704;-0,88633035;-1,05524538
2024-04-30;3,36079513;-0,35000000;3,18000000;-0,27969618;-0,80747822;-1,01249119
2024-05-31;3,24427858;-0,38000000;3,20000000;-0,33627766;-0,83284644;-0,96577613
2024-06-30;2,97025795;-0,35000000;3,21000000;-0,45451273;-0,76999726;-0,93675664
2024-07-31;2,94147579;-0,20000000;3,25000000;-0,47556509;-0,54065708;-0,88506611
2024-08-31;2,60714449;0,00000000;3,17000000;-0,61615873;-0,24814649;-0,93536910
2024-09-30;2,42648303;0,15000000;3,03000000;-0,69566591;-0,03120911;-1,03580648
2024-10-31;2,57884405;0,12000000;2,88000000;-0,64353235;-0,07387434;-1,13653375
2024-11-30;2,71947246;0,05000000;2,74000000;-0,59322853;-0,17330382;-1,22407236
2024-12-31;2,87069097;0,33000000;2,92000000;-0,53749905;0,23644847;-1,05141178
2025-01-31;2,99097831;0,36000000;2,68000000;-0,49245478;0,27575759;-1,22126284
2025-02-28;2,80158345;0,25000000;2,87000000;-0,57309371;0,11547483;-1,02638780
2025-03-31;2,38198146;0,34000000;3,55000000;-0,75282403;0,25047282;-0,44541286
2025-04-30;2,32538823;0,57000000;3,94000000;-0,80280570;0,58294661;-0,00405460
2025-05-31;2,37726511;0,52000000;3,32000000;-0,81187433;0,50898081;-0,67779851
2025-06-30;2,68045387;0,52000000;2,96000000;-0,70902910;0,50836963;-1,11809886
2025-07-31;2,74261805;0,43000000;2,86000000;-0,70441699;0,37723690;-1,21259063
2025-08-31;2,93859174;0,64000000;2,84000000;-0,63911605;0,68178670;-1,20301795
2025-09-30;3,02257158;0,56000000;2,80000000;-0,62151991;0,56507571;-1,23360061
2025-10-31;;0,51000000;2,94000000;;0,49961029;-1,02444222
2025-11-30;2,98829963;0,55000000;2,92000000;-0,69111505;0,56255000;-1,01778788
2025-12-31;3,00226204;0,71000000;2,81000000;-0,70784531;0,80110660;-1,13467400
2026-01-31;2,82867974;0,74000000;2,88000000;-0,81007724;0,85738412;-1,00790028
2026-02-28;2,66458909;0,59000000;3,12000000;-0,90294874;0,66688902;-0,66695517
2026-03-31;3,32020558;0,51000000;3,28000000;-0,60091761;0,59567043;-0,44688480
2026-04-30;;0,55000000;2,86000000;;0,70868905;-1,00196473
