Date;SWDA.L;XLK;IAU;BIL
2014-07-25;0,245362;0,267154;0,251612;0,235872
2014-07-28;0,245232;0,267645;0,251234;0,235890
2014-07-29;0,246208;0,267304;0,250425;0,236063
2014-07-30;0,245876;0,267807;0,250047;0,236270
2014-07-31;0,245914;0,265589;0,249730;0,238767
2014-08-01;0,244657;0,264378;0,251948;0,239017
2014-08-04;0,244349;0,266006;0,250879;0,238765
2014-08-05;0,244781;0,264306;0,251457;0,239456
2014-08-06;0,243179;0,262927;0,254948;0,238947
2014-08-07;0,242473;0,262161;0,256070;0,239296
2014-08-08;0,242301;0,263352;0,255570;0,238776
2014-08-11;0,244640;0,263589;0,253949;0,237823
2014-08-12;0,243574;0,263872;0,254353;0,238201
2014-08-13;0,245468;0,264655;0,253233;0,236644
2014-08-14;0,245804;0,264792;0,253111;0,236293
2014-08-15;0,245744;0,265425;0,251921;0,236910
2014-08-18;0,246989;0,266898;0,250162;0,235951
2014-08-19;0,248437;0,267730;0,248577;0,235255
2014-08-20;0,248622;0,268036;0,247870;0,235473
2014-08-21;0,250273;0,269168;0,245161;0,235398
2014-08-22;0,249811;0,269164;0,245690;0,235336
2014-08-26;0,251329;0,268805;0,245194;0,234671
2014-08-27;0,251026;0,268890;0,245332;0,234752
2014-08-28;0,250013;0,268410;0,246842;0,234735
2014-08-29;0,250157;0,269343;0,246001;0,234499
2014-09-02;0,252257;0,270072;0,242647;0,235024
2014-09-03;0,253613;0,268408;0,243069;0,234909
2014-09-04;0,254884;0,268311;0,241915;0,234890
2014-09-05;0,253830;0,269272;0,242520;0,234378
2014-09-08;0,256651;0,269525;0,239626;0,234199
2014-09-09;0,256569;0,268174;0,240546;0,234711
2014-09-10;0,255616;0,270027;0,239381;0,234977
2014-09-11;0,254893;0,271124;0,238629;0,235355
2014-09-12;0,255622;0,271071;0,237004;0,236303
2014-09-15;0,255066;0,270025;0,238104;0,236804
2014-09-16;0,255117;0,271150;0,237713;0,236020
2014-09-17;0,255268;0,272381;0,235729;0,236622
2014-09-18;0,255061;0,273245;0,235674;0,236020
2014-09-19;0,256010;0,273039;0,234606;0,236345
2014-09-22;0,254847;0,272523;0,235141;0,237489
2014-09-23;0,253303;0,272187;0,236781;0,237729
2014-09-24;0,253618;0,273487;0,235575;0,237321
2014-09-25;0,253626;0,269373;0,238024;0,238977
2014-09-26;0,253460;0,271598;0,236594;0,238348
2014-09-29;0,253541;0,271617;0,236469;0,238372
2014-09-30;0,254440;0,272377;0,234812;0,238372
2014-10-01;0,253244;0,269597;0,237496;0,239663
2014-10-02;0,251339;0,270343;0,237870;0,240449
2014-10-03;0,255560;0,271865;0,232832;0,239743
2014-10-06;0,254832;0,270998;0,235251;0,238918
2014-10-07;0,253373;0,268570;0,237460;0,240597
2014-10-08;0,250512;0,272048;0,238269;0,239171
2014-10-09;0,251769;0,268626;0,239450;0,240154
2014-10-10;0,250924;0,264402;0,242083;0,242590
