Date;static_return;spy_return;active_return
2015-12-15;0,00727741;0,01049791;-0,00322050
2015-12-16;0,00833248;0,01463215;-0,00629967
2015-12-17;-0,00624677;-0,01523798;0,00899120
2015-12-18;-0,00631249;-0,01781528;0,01150279
2015-12-21;0,00460205;0,00824894;-0,00364689
2015-12-22;0,00336527;0,00907453;-0,00570925
2015-12-23;0,00541866;0,01238323;-0,00696457
2015-12-24;0,00094153;-0,00165022;0,00259174
2015-12-29;0,00635305;0,01067200;-0,00431895
2015-12-30;-0,00517187;-0,00708806;0,00191619
2015-12-31;-0,00571132;-0,01000319;0,00429187
2016-01-04;-0,00677605;-0,01397920;0,00720315
2016-01-05;0,00176496;0,00169117;0,00007379
2016-01-06;-0,00190020;-0,01261416;0,01071396
2016-01-07;-0,00891279;-0,02399185;0,01507907
2016-01-08;-0,00666404;-0,01097610;0,00431206
2016-01-11;-0,00220029;0,00098947;-0,00318975
2016-01-12;0,00588415;0,00806844;-0,00218429
2016-01-13;-0,00661515;-0,02494056;0,01832541
2016-01-14;-0,00093792;0,01641678;-0,01735470
2016-01-15;-0,00866031;-0,02146591;0,01280559
2016-01-19;0,00471209;0,00133116;0,00338092
2016-01-20;-0,00877056;-0,01281524;0,00404468
2016-01-21;0,00677767;0,00560197;0,00117570
2016-01-22;0,00921789;0,02051510;-0,01129720
2016-01-25;-0,00057357;-0,01511654;0,01454296
2016-01-26;0,00463952;0,01364318;-0,00900366
2016-01-27;-0,00292911;-0,01088311;0,00795400
2016-01-28;-0,00251096;0,00520910;-0,00772006
2016-01-29;0,01678762;0,02437768;-0,00759006
2016-02-01;0,00211804;-0,00036186;0,00247989
2016-02-02;-0,00879587;-0,01802195;0,00922608
2016-02-03;-0,00368712;0,00599498;-0,00968209
2016-02-04;0,00618357;0,00156810;0,00461547
2016-02-05;-0,00669901;-0,01905030;0,01235130
2016-02-08;-0,00557828;-0,01346092;0,00788264
2016-02-09;-0,00292038;0,00005378;-0,00297417
2016-02-10;0,00324639;-0,00086256;0,00410894
2016-02-11;0,00361315;-0,01300794;0,01662109
2016-02-12;0,00627617;0,02061716;-0,01434099
2016-02-16;0,00451126;0,01687767;-0,01236641
2016-02-17;0,01285602;0,01633461;-0,00347859
2016-02-18;0,00444272;-0,00409534;0,00853806
