window;snapshot_id;base_currency;valuation_rule;requested_start;requested_end;actual_start;actual_end;n_obs;periods_per_year;source_dates_sha256;residual_tolerance;target_return_ann;success;status;message;iterations;objective;budget_residual;target_residual;bound_violation;return_ann;volatility_ann;feasible;weight_SWDA.L;weight_XLK;weight_IAU;weight_BIL
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,12905735;True;0;Optimization terminated successfully;9;0,00759143;0,00000000;0,00000000;0,00000000;0,12905735;0,08712880;True;0,00000000;0,28676144;0,36444769;0,34879087
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,13267630;True;0;Optimization terminated successfully;9;0,00810490;0,00000000;-0,00000000;0,00000000;0,13267630;0,09002723;True;0,00000000;0,29629029;0,37664504;0,32706468
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,13629525;True;0;Optimization terminated successfully;9;0,00863520;0,00000000;0,00000000;0,00000000;0,13629525;0,09292576;True;0,00000000;0,30581913;0,38884240;0,30533847
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,13991420;True;0;Optimization terminated successfully;9;0,00918231;0,00000000;0,00000000;0,00000000;0,13991420;0,09582438;True;0,00000000;0,31534797;0,40103976;0,28361227
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,14353315;True;0;Optimization terminated successfully;9;0,00974625;0,00000000;0,00000000;0,00000000;0,14353315;0,09872308;True;0,00000000;0,32487681;0,41323712;0,26188607
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,14715210;True;0;Optimization terminated successfully;9;0,01032700;0,00000000;-0,00000000;0,00000000;0,14715210;0,10162186;True;0,00000000;0,33440565;0,42543448;0,24015987
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,15077106;True;0;Optimization terminated successfully;8;0,01092458;0,00000000;0,00000000;0,00000000;0,15077106;0,10452070;True;0,00000000;0,34393450;0,43763184;0,21843366
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,15439001;True;0;Optimization terminated successfully;8;0,01153897;-0,00000000;-0,00000000;0,00000000;0,15439001;0,10741961;True;0,00000000;0,35346334;0,44982920;0,19670746
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,15800896;True;0;Optimization terminated successfully;8;0,01217019;0,00000000;0,00000000;0,00000000;0,15800896;0,11031858;True;0,00000000;0,36299218;0,46202656;0,17498126
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,16162791;True;0;Optimization terminated successfully;8;0,01281822;0,00000000;-0,00000000;0,00000000;0,16162791;0,11321759;True;0,00000000;0,37252102;0,47422393;0,15325506
