window,snapshot_id,base_currency,valuation_rule,requested_start,requested_end,actual_start,actual_end,n_obs,periods_per_year,source_dates_sha256,residual_tolerance,target_return_ann,success,status,message,iterations,objective,budget_residual,target_residual,bound_violation,return_ann,volatility_ann,feasible,weight_SWDA.L,weight_XLK,weight_IAU,weight_BIL
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.05865153,True,0,Optimization terminated successfully,8,0.00193689,0.00000000,0.00000000,0.00000000,0.05865153,0.04401006,True,0.00000000,0.18225388,0.13915645,0.67858968
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.06174255,True,0,Optimization terminated successfully,8,0.00220279,0.00000000,0.00000000,0.00000000,0.06174255,0.04693392,True,0.00000000,0.19436557,0.14850809,0.65712634
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.06483357,True,0,Optimization terminated successfully,8,0.00248586,0.00000000,0.00000000,0.00000000,0.06483357,0.04985845,True,0.00000000,0.20647727,0.15785973,0.63566300
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.06792460,True,0,Optimization terminated successfully,8,0.00278610,0.00000000,0.00000000,0.00000000,0.06792460,0.05278353,True,0.00000000,0.21858897,0.16721136,0.61419966
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.07101562,True,0,Optimization terminated successfully,8,0.00310350,-0.00000000,0.00000000,0.00000000,0.07101562,0.05570908,True,0.00000000,0.23070067,0.17656300,0.59273633
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.07410665,True,0,Optimization terminated successfully,8,0.00343807,0.00000000,0.00000000,0.00000000,0.07410665,0.05863503,True,0.00000000,0.24281237,0.18591464,0.57127299
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.07719767,True,0,Optimization terminated successfully,8,0.00378980,0.00000000,0.00000000,0.00000000,0.07719767,0.06156132,True,0.00000000,0.25492407,0.19526628,0.54980965
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.08028869,True,0,Optimization terminated successfully,8,0.00415869,0.00000000,0.00000000,0.00000000,0.08028869,0.06448790,True,0.00000000,0.26703577,0.20461792,0.52834631
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.08337972,True,0,Optimization terminated successfully,8,0.00454475,0.00000000,-0.00000000,0.00000000,0.08337972,0.06741474,True,0.00000000,0.27914747,0.21396955,0.50688298
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.08647074,True,0,Optimization terminated successfully,8,0.00494797,0.00000000,0.00000000,0.00000000,0.08647074,0.07034181,True,0.00000000,0.29125917,0.22332119,0.48541964
