iteration,kind,param,value,appraisal,passed,first_failure,decision
33,overlay,overlay,"{'lam': 100.0, 'signal': 'turbulence', 'window': 252, 'scale': 0.9, 'floor': 0.4, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9496319830961817,True,,REVERT
34,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 126, 'scale': 0.9, 'floor': 0.4, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.0147700362827066,True,,REVERT
35,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 504, 'scale': 0.9, 'floor': 0.4, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.1475046013317798,True,,REVERT
36,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 252, 'scale': 0.9, 'floor': 0.4, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.174619160355328,True,,KEEP
37,overlay,overlay,"{'lam': 100.0, 'signal': 'absorption', 'window': 252, 'scale': 0.9, 'floor': 0.4, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9554207821154084,True,,REVERT
38,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 126, 'scale': 0.9, 'floor': 0.4, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.1754682642310814,True,,KEEP
39,overlay,overlay,"{'lam': 100.0, 'signal': 'absorption', 'window': 126, 'scale': 0.9, 'floor': 0.4, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9561368216592773,True,,REVERT
40,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 504, 'scale': 0.9, 'floor': 0.4, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.010746443610523,True,,REVERT
41,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 126, 'scale': 0.9, 'floor': 0.4, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.0147700362827066,True,,REVERT
42,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 126, 'scale': 1.1, 'floor': 0.4, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.066285959932694,True,,REVERT
43,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 126, 'scale': 1.2, 'floor': 0.4, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.01756784894328,True,,REVERT
44,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 126, 'scale': 1.3, 'floor': 0.4, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9860034216061011,True,,REVERT
45,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 126, 'scale': 0.9, 'floor': 0.5, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.1487070049959334,True,,REVERT
46,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 126, 'scale': 0.9, 'floor': 0.3, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.1754682642310814,True,,REVERT
47,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 126, 'scale': 0.9, 'floor': 0.4, 'arm': None, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9033145051517298,False,budget: CAGR 6.73% vs floor 7.11%,REVERT
48,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 126, 'scale': 0.9, 'floor': 0.4, 'arm': -0.02, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.09631295218266,True,,REVERT
49,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 126, 'scale': 0.9, 'floor': 0.4, 'arm': -0.04, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9961559740955079,True,,REVERT
50,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 126, 'scale': 0.9, 'floor': 0.4, 'arm': -0.05, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.0002278987710291,True,,REVERT
