date;pit_p;nonpit_p;delta;segment
2024-01-02;0,26338398;0,68035745;0,41697347;in_training
2024-02-01;0,53628655;0,45309305;-0,08319350;in_training
2024-03-01;0,51533859;0,92720653;0,41186794;in_training
2024-04-01;0,83680060;0,93634068;0,09954007;in_training
2024-05-01;0,66154631;0,56581004;-0,09573627;in_training
2024-06-03;0,49040214;0,58284406;0,09244192;post_cutoff
2024-07-01;0,54352256;0,84841556;0,30489300;post_cutoff
2024-08-01;0,47738421;0,68372509;0,20634088;post_cutoff
2024-09-02;0,00000000;0,98330778;0,98330778;post_cutoff
2024-10-01;0,27776542;0,70353025;0,42576482;post_cutoff
2024-11-01;0,10804431;0,63079925;0,52275494;post_cutoff
2024-12-02;0,52316359;0,95260811;0,42944452;post_cutoff
2025-01-02;0,00006071;0,93197837;0,93191766;post_cutoff
2025-02-03;0,58160425;0,82849740;0,24689315;post_cutoff
2025-03-03;0,62159306;0,96994327;0,34835021;post_cutoff
2025-04-01;0,00004134;0,74766874;0,74762739;post_cutoff
2025-05-01;0,52819459;0,74794634;0,21975175;post_cutoff
2025-06-02;0,93059981;0,63587026;-0,29472955;post_cutoff
2025-07-01;0,41505012;0,46072517;0,04567505;post_cutoff
2025-08-01;0,58924033;0,58898327;-0,00025706;post_cutoff
2025-09-01;0,58108209;0,58614947;0,00506738;post_cutoff
2025-10-01;0,58675969;0,61366847;0,02690878;post_cutoff
2025-11-03;0,00000000;0,63812150;0,63812150;post_cutoff
2025-12-01;0,42860050;0,71007408;0,28147358;post_cutoff
2026-01-02;0,28314499;0,63917819;0,35603320;post_cutoff
2026-02-02;0,50466772;0,77295793;0,26829022;post_cutoff
2026-03-02;0,01326115;0,74608595;0,73282480;post_cutoff
2026-04-01;0,55330729;0,88103104;0,32772375;post_cutoff
2026-05-01;0,21033554;0,80328371;0,59294816;post_cutoff
2026-06-01;0,49951136;0,97204769;0,47253633;post_cutoff
