date;value
2019-09-10;14207,21685680
2019-09-11;14295,24858466
2019-09-12;14326,49039109
2019-09-13;14238,25342024
2019-09-16;14299,46870653
2019-09-17;14310,30381110
2019-09-18;14255,60952263
2019-09-19;14313,81305673
2019-09-20;14394,44350168
2019-09-23;14443,70834864
2019-09-24;14470,58892608
2019-09-25;14322,90017964
2019-09-26;14328,17726307
2019-09-27;14284,84857914
2019-09-30;14164,28666214
2019-10-01;14191,33805692
2019-10-02;14163,63351058
2019-10-03;14186,20236524
2019-10-04;14244,01217975
2019-10-07;14212,98760123
2019-10-08;14216,36162700
2019-10-09;14242,75444675
2019-10-10;14213,18450868
2019-10-11;14187,07213259
2019-10-14;14202,91705281
2019-10-15;14189,19757421
2019-10-16;14185,47855633
2019-10-17;14189,29365443
2019-10-18;14165,87476563
2019-10-21;14150,89647453
2019-10-22;14157,05314625
2019-10-23;14176,43968629
2019-10-24;14241,04317676
2019-10-25;14270,04100026
2019-10-28;14251,95078051
2019-10-29;14223,55637238
2019-10-30;14260,54631872
2019-10-31;14289,77233933
2019-11-01;14321,71787146
2019-11-04;14329,70968553
2019-11-05;14196,43436907
2019-11-06;14235,34337182
2019-11-07;14134,50737038
2019-11-08;14094,34602020
2019-11-11;14056,23000000
2019-11-12;14100,41886291
2019-11-13;14123,65496392
2019-11-14;14150,96156776
2019-11-15;14154,75528723
2019-11-18;14178,63819709
2019-11-19;14186,08531260
2019-11-20;14178,04834932
2019-11-21;14119,62008544
2019-11-22;14120,62155223
2019-11-25;14104,18031147
2019-11-26;14158,00588526
2019-11-27;14124,87747788
2019-11-29;14150,82140567
2019-12-02;14113,29949716
2019-12-03;14155,38128627
2019-12-04;14149,74555359
2019-12-05;14158,62198964
2019-12-06;14111,57900676
2019-12-09;14101,91121654
2019-12-10;14113,92447586
2019-12-11;14185,41824025
2019-12-12;14183,78503255
2019-12-13;14207,11227087
2019-12-16;14240,44426221
2019-12-17;14249,87074798
2019-12-18;14258,84337740
2019-12-19;14294,75038300
2019-12-20;14302,54157121
2019-12-23;14372,04888026
2019-12-24;14442,38259845
2019-12-27;14503,03798459
2019-12-30;14508,34091568
2019-12-31;14506,61816409
2020-01-02;14614,08450555
2020-01-03;14726,04241881
2020-01-06;14806,85713552
2020-01-07;14855,51490614
2020-01-08;14807,35055023
2020-01-09;14781,84851999
2020-01-10;14843,23583403
2020-01-13;14796,75060340
2020-01-14;14781,89400070
2020-01-15;14845,47793096
2020-01-16;14843,36648854
2020-01-17;14890,63478562
2020-01-21;14892,85598922
2020-01-22;14885,17996783
2020-01-23;14904,77505398
2020-01-24;14960,89878718
2020-01-27;14957,26036275
2020-01-28;14924,09366468
2020-01-29;14973,67116938
2020-01-30;14958,39731889
2020-01-31;14960,03260047
2020-02-03;14943,22972329
2020-02-04;14880,29089352
2020-02-05;14920,33986950
2020-02-06;15005,34480445
2020-02-07;15009,09008923
2020-02-10;15041,70677712
2020-02-11;15020,80469328
2020-02-12;15028,63046521
2020-02-13;15071,55697094
2020-02-14;15117,58359939
2020-02-18;15216,24011313
2020-02-19;15315,67273304
2020-02-20;15338,50869224
2020-02-21;15428,23510756
2020-02-24;15400,25320422
2020-02-25;15143,34070191
2020-02-26;15199,35996542
2020-02-27;15068,11238323
2020-02-28;14688,89886208
2020-03-02;14851,03730028
2020-03-03;15094,02811293
2020-03-04;15186,95175203
2020-03-05;15334,51506901
2020-03-06;15236,12660141
2020-03-09;15069,13518054
2020-03-10;14918,94484324
2020-03-11;14833,58101633
2020-03-12;14221,13712012
2020-03-13;14085,26006691
2020-03-16;13844,35743688
2020-03-17;14058,74793959
2020-03-18;13782,23330235
2020-03-19;13668,60524770
2020-03-20;13732,83567354
2020-03-23;14052,11391136
2020-03-24;14644,66780621
2020-03-25;14587,53080776
2020-03-26;14792,40909571
2020-03-27;14597,56074570
2020-03-30;14698,89561942
2020-03-31;14442,44302156
2020-04-01;14377,48016800
2020-04-02;14549,05583128
2020-04-03;14607,15005993
2020-04-06;15002,26608400
2020-04-07;15021,10214007
2020-04-08;14920,54970076
2020-04-09;15194,78336510
2020-04-14;15509,38088529
2020-04-15;15424,62188610
2020-04-16;15412,40533378
2020-04-17;15258,57477333
2020-04-20;15345,38097962
2020-04-21;15174,53997725
2020-04-22;15418,30377581
2020-04-23;15530,79562255
2020-04-24;15497,09857518
2020-04-27;15500,18647366
2020-04-28;15442,88985549
2020-04-29;15579,35980058
2020-04-30;15340,01240103
2020-05-01;15335,79724577
2020-05-04;15359,92208059
2020-05-05;15435,00556930
2020-05-06;15393,52545622
2020-05-07;15520,87691153
2020-05-11;15501,19635290
2020-05-12;15508,46774825
2020-05-13;15485,50783082
2020-05-14;15530,48995929
2020-05-15;15592,20780241
2020-05-18;15653,16808428
2020-05-19;15684,16327246
2020-05-20;15741,75240402
2020-05-21;15626,96625799
2020-05-22;15664,07998623
2020-05-26;15625,23296271
2020-05-27;15650,87905193
2020-05-28;15690,16861140
2020-05-29;15707,81694920
2020-06-01;15751,29685022
2020-06-02;15729,10901568
2020-06-03;15679,34098544
2020-06-04;15717,80776664
2020-06-05;15683,37917915
2020-06-08;15745,43872791
2020-06-09;15790,77573092
2020-06-10;15879,51279240
2020-06-11;15700,55576389
2020-06-12;15726,24854807
2020-06-15;15711,57285332
2020-06-16;15807,77248251
2020-06-17;15826,31593873
2020-06-18;15823,45009591
2020-06-19;15892,74179088
2020-06-22;15930,84914335
2020-06-23;15999,81388803
2020-06-24;15910,49631921
2020-06-25;15919,12903645
2020-06-26;15921,54790275
2020-06-29;15953,70973951
2020-06-30;15996,79844310
2020-07-01;15977,21738009
2020-07-02;16025,46634233
2020-07-06;16103,93091728
2020-07-07;16102,69954890
2020-07-08;16138,91381825
2020-07-09;16118,57108243
2020-07-10;16115,37554336
2020-07-13;16141,20188511
2020-07-14;16157,27800856
2020-07-15;16204,92814971
2020-07-16;16118,47986545
2020-07-17;16188,61554711
2020-07-20;16242,03544615
2020-07-21;16302,98694500
2020-07-22;16389,16947824
2020-07-23;16409,85531277
2020-07-24;16398,30141380
2020-07-27;16521,26454876
2020-07-28;16556,09603932
2020-07-29;16615,54299146
2020-07-30;16547,88210993
2020-07-31;16634,07601001
2020-08-03;16706,38752254
2020-08-04;16834,74271220
2020-08-05;16899,38355188
2020-08-06;16985,47309068
2020-08-07;16888,59021558
2020-08-10;16862,29942287
2020-08-11;16561,47193970
2020-08-12;16582,93147455
2020-08-13;16699,08343585
2020-08-14;16667,28385738
2020-08-17;16796,73920926
2020-08-18;16839,05442536
2020-08-19;16679,03137917
2020-08-20;16716,51853343
2020-08-21;16696,43335769
2020-08-24;16709,95566838
2020-08-25;16717,82651563
2020-08-26;16813,50299212
2020-08-27;16755,09760071
2020-08-28;16843,67976059
2020-09-01;16889,36855348
2020-09-02;16872,33788515
2020-09-03;16705,17573207
2020-09-04;16663,10660277
2020-09-08;16609,22894388
2020-09-09;16736,35727957
2020-09-10;16714,53644828
2020-09-11;16701,94599822
2020-09-14;16777,74911015
2020-09-15;16794,36731115
2020-09-16;16772,16704671
2020-09-17;16705,08557291
2020-09-18;16683,07771763
2020-09-21;16533,75367850
2020-09-22;16561,50308247
2020-09-23;16415,09558270
2020-09-24;16415,96523355
2020-09-25;16443,37041276
2020-09-28;16543,08936632
2020-09-29;16587,22600738
2020-09-30;16563,51007968
2020-10-01;16630,58181411
2020-10-02;16557,25373570
2020-10-05;16660,00336676
2020-10-06;16550,50215212
2020-10-07;16593,05086124
2020-10-08;16650,30757185
2020-10-09;16802,29906716
2020-10-12;16859,44978018
2020-10-13;16745,90431974
2020-10-14;16742,13036623
2020-10-15;16739,96590259
2020-10-16;16733,92636460
2020-10-19;16681,52231432
